City,Country,Lat,Lng,Description,Humidity,MaxTemp,Cloudiness,WindSpeed,Hotel Name
Kavaratti,IN,10.5669,72.642,clear sky,75,81.25,0,11.79,No Hotel Found
Kulhudhuffushi,MV,6.6221,73.07,few clouds,76,80.92,16,13.87,No Hotel Found
Betong,TH,5.7743,101.0723,overcast clouds,99,70.5,95,2.35,Fah Ung Rung Hotel
Rikitea,PF,-23.1203,-134.9692,overcast clouds,75,74.21,97,7.96,Chez Bianca & Benoit
Sur,OM,22.5667,59.5289,clear sky,51,73.15,0,8.72,Resort Sur Beach Hotel
Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,overcast clouds,75,79.03,100,13.58,Hotel Praia Azul
Cape Town,ZA,-33.9258,18.4232,moderate rain,75,77.41,0,11.01,DoubleTree by Hilton Hotel Cape Town - Upper Eastside
Veinticinco De Mayo,AR,-35.4323,-60.1727,clear sky,20,83.98,0,3.0,Gran Hotel 25 de Mayo
Cordoba,AR,-31.4135,-64.1811,few clouds,18,93.76,20,9.22,Hotel Dr. César Carman
Kapaa,US,22.0752,-159.319,clear sky,67,79.48,2,3.0,Sheraton Kauai Coconut Beach Resort
Avarua,CK,-21.2078,-159.775,mist,94,77.05,75,19.57,Natura Nikao Beach Bungalow
Bengkulu,ID,-3.8004,102.2655,broken clouds,89,75.02,80,6.55,Hotel Andalas Permai
Saint-Philippe,RE,-21.3585,55.7679,light rain,85,76.59,80,12.08,Le Baril
Dong Xoai,VN,11.5333,106.9167,clear sky,88,70.56,8,2.93,Thanh Sang
Hermanus,ZA,-34.4187,19.2345,overcast clouds,88,71.8,90,13.2,Abalone Guest Lodge
Castro,BR,-24.7911,-50.0119,clear sky,70,70.63,3,4.76,Buganville Express
Atuona,PF,-9.8,-139.0333,clear sky,74,78.1,5,18.57,Pearl Resort
Sulangan,PH,11.1373,123.7228,overcast clouds,78,81.81,100,15.48,Marion's Inn
Hilo,US,19.7297,-155.09,few clouds,75,84.27,20,10.36,Dolphin Bay Hotel
Tecoanapa,MX,16.5167,-98.75,few clouds,62,81.03,13,7.76,No Hotel Found
Georgetown,MY,5.4112,100.3354,few clouds,84,82.24,20,5.75,G Hotel Kelawai
Matara,LK,5.9485,80.5353,overcast clouds,89,74.41,100,1.41,Amaloh by Jetwing
Butaritari,KI,3.0707,172.7902,scattered clouds,75,81.12,49,7.78,No Hotel Found
Hobyo,SO,5.3505,48.5268,clear sky,71,77.34,0,13.96,No Hotel Found
Skeldon,GY,5.8833,-57.1333,broken clouds,79,78.82,84,7.38,City Inn Hotel
Bambous Virieux,MU,-20.3428,57.7575,scattered clouds,83,76.21,40,8.05,No Hotel Found
Sao Filipe,CV,14.8961,-24.4956,clear sky,63,78.82,0,10.31,Bela Vista
Coxim,BR,-18.5067,-54.76,overcast clouds,83,79.02,91,3.96,Tayama
Arraial Do Cabo,BR,-22.9661,-42.0278,few clouds,65,76.86,20,16.11,Pousada Vida Boa Praia
Pisco,PE,-13.7,-76.2167,clear sky,65,77.05,0,6.91,Gran Hotel Chincha
Vila Velha,BR,-20.3297,-40.2925,broken clouds,74,75.15,75,6.91,Hostess Hotel
Cartagena,CO,10.3997,-75.5144,few clouds,70,87.42,20,16.11,Hotel Bellamar
Muvattupula,IN,9.9667,76.5833,scattered clouds,88,73.78,49,2.73,പാരെയ്സ് ദി റെസിഡൻസി
Pasni,PK,25.2631,63.471,clear sky,29,71.42,0,12.86,No Hotel Found
Les Cayes,HT,18.2,-73.75,clear sky,63,80.44,1,10.09,Hotel L jordin
Carnarvon,AU,-24.8667,113.6333,clear sky,79,71.42,0,19.57,No Hotel Found
Alofi,NU,-19.0595,-169.9187,broken clouds,69,82.29,75,12.66,No Hotel Found
Padang,ID,-0.9492,100.3543,broken clouds,81,75.87,77,2.64,Mercure Hotel
Saldanha,ZA,-33.0117,17.9442,scattered clouds,82,70.11,47,4.41,Hoedjesbaai
Francisco Sa,BR,-16.4758,-43.4883,overcast clouds,87,71.74,100,5.01,No Hotel Found
Hithadhoo,MV,-0.6,73.0833,overcast clouds,71,81.12,85,10.63,Pebbles Inn
San Carlos De Bariloche,AR,-41.1456,-71.3082,clear sky,16,74.95,0,11.5,Mirando al Sur
Rio Grande,BR,-32.035,-52.0986,overcast clouds,70,78.91,100,18.23,Hotel Atlântico
Bathsheba,BB,13.2167,-59.5167,scattered clouds,89,83.01,40,16.11,Clifton Hall Great House
Bandarbeyla,SO,9.4942,50.8122,clear sky,73,76.42,0,17.56,No Hotel Found
Lagos,NG,6.5833,3.75,overcast clouds,80,80.92,92,5.32,No Hotel Found
Cayenne,GF,4.9333,-52.3333,overcast clouds,83,80.64,100,9.22,Central Hôtel
Letlhakeng,BW,-24.0944,25.0298,broken clouds,53,77.14,65,5.32,No Hotel Found
Kapit,MY,2.0167,112.9333,overcast clouds,100,73.11,100,0.6,Haip
Kendari,ID,-3.945,122.4989,overcast clouds,93,75.63,100,3.53,Same Hotel Kendari
Porbandar,IN,21.6422,69.6093,overcast clouds,49,76.95,98,8.86,Toran Tourist Bungalow
San Cristobal,VE,7.7669,-72.225,scattered clouds,71,77.18,27,3.44,Nevada Suites
Puerto Ayora,EC,-0.7393,-90.3518,overcast clouds,90,78.76,86,5.01,Muyuyo Galápagos
Gizo,SB,-8.103,156.8419,broken clouds,72,83.35,51,3.96,Gizo Hotel
El Juncal,HN,15.45,-86.4333,clear sky,52,84.27,0,3.69,No Hotel Found
Dingle,PH,10.9995,122.6711,overcast clouds,93,75.81,99,7.05,No Hotel Found
Gamba,GA,-2.65,10.0,moderate rain,87,76.78,63,4.56,No Hotel Found
Moron,AR,-34.6534,-58.6198,clear sky,31,81.81,10,15.75,Hotel Haedo
Yarada,IN,17.65,83.2667,broken clouds,76,75.42,53,3.51,No Hotel Found
Port Elizabeth,ZA,-33.918,25.5701,overcast clouds,95,72.32,100,2.3,Newtondale
Mormugao,IN,15.4,73.8,overcast clouds,78,74.32,93,6.89,Hotel Vasco
Thanatpin,MM,17.2119,96.3033,overcast clouds,80,71.78,95,0.16,No Hotel Found
Uribia,CO,11.7139,-72.266,broken clouds,62,83.14,55,21.23,No Hotel Found
Vaini,TO,-21.2,-175.2,light rain,65,80.76,20,10.36,Keleti International Resort
Basco,PH,20.4487,121.9702,broken clouds,80,79.5,57,20.18,Shanedels Inn and Cafe
Luanda,AO,-8.8368,13.2343,few clouds,83,78.8,20,6.91,Hotel Presidente Luanda
Iracoubo,GF,5.4802,-53.2011,broken clouds,90,76.14,61,8.63,No Hotel Found
Port Blair,IN,11.6667,92.75,mist,69,80.64,40,2.3,Hornbill Nest resort
San Patricio,US,28.017,-97.5169,clear sky,38,73.17,1,7.87,No Hotel Found
Pontianak,ID,-0.0333,109.3333,moderate rain,94,73.38,75,4.61,Airy Pontianak Selatan Imam Bonjol 89
Bungu,TZ,-7.6337,39.0582,clear sky,93,71.96,10,3.2,No Hotel Found
Muli,MV,2.9167,73.5667,scattered clouds,78,79.27,49,3.89,No Hotel Found
Atar,MR,20.5169,-13.0499,clear sky,32,75.88,0,6.8,فندق إم كا تي
Kavieng,PG,-2.5744,150.7967,moderate rain,77,80.98,98,2.35,Kavieng Niu Lodge
Mackay,AU,-21.15,149.2,few clouds,68,78.67,16,9.89,Mackay Oceanside Central Apartment Hotel
Ahipara,NZ,-35.1667,173.1667,overcast clouds,71,72.23,100,3.91,YHA Ahipara
Aranos,,-24.1333,19.1167,broken clouds,40,77.43,74,11.54,Aranos Hotel
Karratha,AU,-20.7377,116.8463,clear sky,48,76.26,0,14.88,Karratha International Hotel
Saint-Joseph,RE,-21.3667,55.6167,light rain,84,75.58,60,7.63,No Hotel Found
Obidos,BR,-1.9175,-55.5181,overcast clouds,54,84.74,100,1.66,Hotel Gysa
Faanui,PF,-16.4833,-151.75,overcast clouds,77,80.33,93,17.76,Four Seasons Resort Bora Bora
