City,Country,Lat,Lng,Description,Humidity,MaxTemp,Cloudiness,WindSpeed
Kavaratti,IN,10.5669,72.642,clear sky,75,81.25,0,11.79
Katsuura,JP,35.1333,140.3,scattered clouds,57,46.83,27,8.81
Quang Ngai,VN,15.1167,108.8,overcast clouds,86,69.35,100,6.53
Busselton,AU,-33.65,115.3333,clear sky,84,55.8,0,13.47
Kulhudhuffushi,MV,6.6221,73.07,few clouds,76,80.92,16,13.87
Betong,TH,5.7743,101.0723,overcast clouds,99,70.5,95,2.35
Bluff,NZ,-46.6,168.3333,light rain,90,56.73,100,3.69
Yellowknife,CA,62.456,-114.3525,overcast clouds,84,-5.28,100,8.05
Torbay,CA,47.6666,-52.7314,light intensity drizzle,97,39.58,100,25.99
Punta Arenas,CL,-53.15,-70.9167,light rain,82,53.71,100,6.91
Havre-Saint-Pierre,CA,50.2334,-63.5986,overcast clouds,69,32.0,100,19.57
Rikitea,PF,-23.1203,-134.9692,overcast clouds,75,74.21,97,7.96
Sur,OM,22.5667,59.5289,clear sky,51,73.15,0,8.72
Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,overcast clouds,75,79.03,100,13.58
Hamilton,US,39.1834,-84.5333,scattered clouds,69,45.93,40,12.66
Cape Town,ZA,-33.9258,18.4232,moderate rain,75,77.41,0,11.01
Veinticinco De Mayo,AR,-35.4323,-60.1727,clear sky,20,83.98,0,3.0
Cordoba,AR,-31.4135,-64.1811,few clouds,18,93.76,20,9.22
Kapaa,US,22.0752,-159.319,clear sky,67,79.48,2,3.0
Hobart,AU,-42.8794,147.3294,broken clouds,89,52.27,75,10.36
Sobolevo,RU,54.4299,31.8996,overcast clouds,92,25.32,100,11.99
Avarua,CK,-21.2078,-159.775,mist,94,77.05,75,19.57
Bengkulu,ID,-3.8004,102.2655,broken clouds,89,75.02,80,6.55
Kaka,TM,37.3482,59.6143,clear sky,39,50.58,4,4.72
Saint-Philippe,RE,-21.3585,55.7679,light rain,85,76.59,80,12.08
Evensk,RU,61.95,159.2333,overcast clouds,82,17.82,90,26.35
Dong Xoai,VN,11.5333,106.9167,clear sky,88,70.56,8,2.93
Kaitangata,NZ,-46.2817,169.8464,light rain,84,61.14,95,3.04
Hermanus,ZA,-34.4187,19.2345,overcast clouds,88,71.8,90,13.2
Chokurdakh,RU,70.6333,147.9167,broken clouds,100,-40.61,63,1.79
Luderitz,NA,-26.6481,15.1594,clear sky,90,67.05,5,1.72
Castro,BR,-24.7911,-50.0119,clear sky,70,70.63,3,4.76
Adeje,ES,28.1227,-16.726,broken clouds,78,67.3,75,3.44
Waddan,LY,29.1614,16.139,clear sky,33,68.45,0,3.69
Barrow,US,71.2906,-156.7887,overcast clouds,72,10.42,100,9.22
Saint George,US,37.1041,-113.5841,clear sky,40,47.95,0,4.61
Ushuaia,AR,-54.8,-68.3,scattered clouds,54,58.62,40,16.11
Mar Del Plata,AR,-38.0023,-57.5575,clear sky,70,64.42,0,18.41
Mount Gambier,AU,-37.8333,140.7667,overcast clouds,73,53.87,100,7.78
Balykshi,KZ,47.0667,51.8667,clear sky,47,30.2,0,11.18
Atuona,PF,-9.8,-139.0333,clear sky,74,78.1,5,18.57
Sulangan,PH,11.1373,123.7228,overcast clouds,78,81.81,100,15.48
Tuktoyaktuk,CA,69.4541,-133.0374,few clouds,77,-9.4,20,5.75
Hilo,US,19.7297,-155.09,few clouds,75,84.27,20,10.36
Saskylakh,RU,71.9167,114.0833,overcast clouds,100,-30.69,99,1.74
Tecoanapa,MX,16.5167,-98.75,few clouds,62,81.03,13,7.76
New Norfolk,AU,-42.7826,147.0587,overcast clouds,69,51.93,95,1.99
Georgetown,MY,5.4112,100.3354,few clouds,84,82.24,20,5.75
Deputatskiy,RU,69.3,139.9,few clouds,99,-36.22,18,0.67
Uyemskiy,RU,64.4743,40.8524,light shower snow,85,23.05,100,8.95
Hofn,IS,64.2539,-15.2082,overcast clouds,57,22.66,100,18.52
Matara,LK,5.9485,80.5353,overcast clouds,89,74.41,100,1.41
Port Macquarie,AU,-31.4333,152.9167,scattered clouds,71,65.89,42,10.07
Norman Wells,CA,65.282,-126.8329,overcast clouds,84,-5.76,100,4.61
Butaritari,KI,3.0707,172.7902,scattered clouds,75,81.12,49,7.78
Albany,US,42.6001,-73.9662,light snow,79,36.59,100,1.99
Hobyo,SO,5.3505,48.5268,clear sky,71,77.34,0,13.96
Qaanaaq,GL,77.484,-69.3632,overcast clouds,73,14.41,100,8.86
Esso,RU,55.9333,158.7,broken clouds,95,5.25,73,8.32
Fortuna,US,40.5982,-124.1573,clear sky,71,52.93,0,6.91
Kokkola,FI,63.8385,23.1307,broken clouds,96,21.92,75,11.5
Skeldon,GY,5.8833,-57.1333,broken clouds,79,78.82,84,7.38
Iskateley,RU,67.6803,53.1512,light snow,94,15.01,95,20.02
Airai,TL,-8.9266,125.4092,overcast clouds,88,60.93,100,1.74
Sabha,LY,27.0377,14.4283,clear sky,32,67.66,0,7.72
Wanning,CN,18.8003,110.3967,overcast clouds,90,66.38,98,10.13
Longyearbyen,SJ,78.2186,15.6401,scattered clouds,72,3.04,40,12.66
Vardo,NO,70.3705,31.1107,light snow,93,30.18,75,18.41
Bambous Virieux,MU,-20.3428,57.7575,scattered clouds,83,76.21,40,8.05
Sistranda,NO,63.7256,8.834,light snow,70,30.16,100,13.65
Leningradskiy,RU,69.3833,178.4167,scattered clouds,91,-21.57,39,4.23
Vila Franca Do Campo,PT,37.7167,-25.4333,overcast clouds,70,58.19,100,2.98
Kruisfontein,ZA,-34.0033,24.7314,few clouds,90,66.79,20,0.36
Sao Filipe,CV,14.8961,-24.4956,clear sky,63,78.82,0,10.31
Sitka,US,57.0531,-135.33,mist,87,42.69,100,6.91
Chato,TZ,-2.6378,31.7669,broken clouds,81,65.03,83,4.05
Coxim,BR,-18.5067,-54.76,overcast clouds,83,79.02,91,3.96
Esperance,AU,-33.8667,121.9,few clouds,82,58.24,23,12.3
Tiksi,RU,71.6872,128.8694,overcast clouds,100,-27.92,97,2.59
Arraial Do Cabo,BR,-22.9661,-42.0278,few clouds,65,76.86,20,16.11
Lavrentiya,RU,65.5833,-171.0,scattered clouds,86,-6.09,28,4.07
Bethel,US,41.3712,-73.414,overcast clouds,80,39.02,100,5.75
Pisco,PE,-13.7,-76.2167,clear sky,65,77.05,0,6.91
Prince Rupert,CA,54.3161,-130.3201,overcast clouds,96,38.89,100,6.91
East London,ZA,-33.0153,27.9116,clear sky,87,68.99,7,3.49
Jamestown,US,42.097,-79.2353,mist,72,38.79,100,17.27
Chuy,UY,-33.6971,-53.4616,overcast clouds,91,62.85,97,11.34
Bredasdorp,ZA,-34.5322,20.0403,light rain,91,69.94,90,13.0
Atasu,KZ,48.6814,71.6433,clear sky,76,2.68,0,8.32
Vila Velha,BR,-20.3297,-40.2925,broken clouds,74,75.15,75,6.91
Flinders,AU,-34.5833,150.8552,light rain,61,59.18,85,11.01
Ban Nahin,LA,18.2418,104.2122,broken clouds,79,58.46,76,3.51
Ancud,CL,-41.8697,-73.8203,overcast clouds,61,60.15,100,6.33
Ribeira Grande,PT,38.5167,-28.7,light rain,77,61.2,75,13.0
Cartagena,CO,10.3997,-75.5144,few clouds,70,87.42,20,16.11
Alberton,CA,46.8168,-64.0654,overcast clouds,80,35.51,100,26.22
Cariamanga,EC,-4.3333,-79.55,overcast clouds,67,68.77,100,5.39
Havoysund,NO,70.9963,24.6622,overcast clouds,83,35.83,100,26.33
Muvattupula,IN,9.9667,76.5833,scattered clouds,88,73.78,49,2.73
Pasni,PK,25.2631,63.471,clear sky,29,71.42,0,12.86
Roald,NO,62.5833,6.1333,light snow,93,33.75,40,5.75
Tyler,US,32.3513,-95.3011,clear sky,35,57.61,0,10.36
Les Cayes,HT,18.2,-73.75,clear sky,63,80.44,1,10.09
Somerset,US,40.5668,-74.5496,moderate rain,91,44.4,100,5.01
Alvdal,NO,62.1077,10.6307,scattered clouds,93,5.92,42,3.53
Lubango,AO,-14.9172,13.4925,overcast clouds,75,58.68,100,3.27
Ilulissat,GL,69.2167,-51.1,light shower snow,93,28.42,75,14.97
Mataura,NZ,-46.1927,168.8643,overcast clouds,83,61.9,99,1.74
