City,Country,Lat,Lng,Description,Humidity,MaxTemp,Cloudiness,WindSpeed
Anloga,GH,5.7947,0.8973,few clouds,79,78.31,22,4.07
Klyuchi,RU,52.2667,79.1667,overcast clouds,93,-9.29,100,11.21
Thinadhoo,MV,0.5333,72.9333,broken clouds,79,80.08,64,11.83
Punta Arenas,CL,-53.15,-70.9167,clear sky,87,48.31,0,2.3
Mataura,NZ,-46.1927,168.8643,scattered clouds,46,63.43,38,7.16
Namibe,AO,-15.1961,12.1522,overcast clouds,77,70.02,94,6.31
Waipawa,NZ,-41.4122,175.5153,light rain,97,56.77,100,19.44
Bredasdorp,ZA,-34.5322,20.0403,broken clouds,76,66.31,60,3.47
East London,ZA,-33.0153,27.9116,fog,94,72.54,100,3.44
Leningradskiy,RU,69.3833,178.4167,broken clouds,99,-19.97,60,9.55
Hayden,US,47.766,-116.7866,clear sky,94,34.21,0,10.36
Chuy,UY,-33.6971,-53.4616,few clouds,93,66.69,17,4.25
New Norfolk,AU,-42.7826,147.0587,scattered clouds,23,84.9,45,3.0
Ilulissat,GL,69.2167,-51.1,overcast clouds,98,-14.53,99,5.28
Aleksandrovskiy Zavod,RU,50.9237,117.9374,scattered clouds,83,19.18,32,2.35
Albany,US,42.6001,-73.9662,overcast clouds,72,25.74,95,1.01
Fortuna,US,40.5982,-124.1573,overcast clouds,95,47.93,100,11.5
Codrington,AU,-38.2667,141.9667,broken clouds,54,74.97,63,12.37
Avarua,CK,-21.2078,-159.775,light rain,94,78.85,100,6.91
San Cristobal,VE,7.7669,-72.225,overcast clouds,98,68.18,94,0.98
Ayagoz,KZ,47.9714,80.4392,scattered clouds,96,-16.47,38,6.67
Saldanha,ZA,-33.0117,17.9442,scattered clouds,85,57.25,33,8.9
Half Moon Bay,US,37.4636,-122.4286,mist,83,55.35,100,12.66
Kapaa,US,22.0752,-159.319,scattered clouds,84,75.18,29,4.0
Chapais,CA,49.7834,-74.8492,scattered clouds,100,-18.62,48,0.81
Ushuaia,AR,-54.8,-68.3,clear sky,81,49.66,0,16.11
Tuktoyaktuk,CA,69.4541,-133.0374,broken clouds,75,-32.8,75,0.0
Ribeira Grande,PT,38.5167,-28.7,few clouds,67,59.77,23,14.0
Salalah,OM,17.0151,54.0924,clear sky,52,74.61,6,0.69
Pemangkat,ID,1.1667,108.9667,broken clouds,70,83.35,69,7.61
Lebu,CL,-37.6167,-73.65,clear sky,74,54.0,0,19.3
Rikitea,PF,-23.1203,-134.9692,light rain,77,78.75,75,15.82
Lavrentiya,RU,65.5833,-171.0,clear sky,86,-14.76,9,11.86
Ayan,RU,56.45,138.1667,few clouds,91,-5.03,12,4.09
Hermanus,ZA,-34.4187,19.2345,broken clouds,78,67.8,53,5.17
Cape Town,ZA,-33.9258,18.4232,clear sky,77,68.38,0,3.44
Adrar,MR,20.5022,-10.0711,overcast clouds,13,59.65,97,12.59
