City,Country,Lat,Lng,Current Description,Humidity,Max Temp,Cloudiness,Wind Speed
Great Yarmouth,GB,52.6083,1.7305,overcast clouds,75,39.45,100,12.97
Nikki,BJ,9.9401,3.2108,few clouds,19,82.99,17,9.31
Pevek,RU,69.7008,170.3133,light snow,97,-0.74,100,9.46
Bredasdorp,ZA,-34.5322,20.0403,clear sky,36,77.05,5,8.48
Port Blair,IN,11.6667,92.75,moderate rain,80,80.51,100,12.71
Kapaa,US,22.0752,-159.319,light rain,87,79.12,100,18.41
Honningsvag,NO,70.9821,25.9704,light rain,87,38.95,75,16.11
Vaini,TO,-21.2,-175.2,broken clouds,94,77.16,75,2.3
Laguna,US,38.421,-121.4238,clear sky,91,45.01,0,3.44
Arraial Do Cabo,BR,-22.9661,-42.0278,broken clouds,88,73.26,75,8.05
Mar Del Plata,AR,-38.0023,-57.5575,broken clouds,74,67.08,75,14.97
Rikitea,PF,-23.1203,-134.9692,light rain,82,74.98,9,21.21
Bahia Blanca,AR,-38.7196,-62.2724,clear sky,44,69.3,0,5.01
Veliki Trnovac,RS,42.4767,21.7405,overcast clouds,83,47.26,100,4.32
Hobart,AU,-42.8794,147.3294,overcast clouds,82,55.26,100,6.91
Merauke,ID,-8.4667,140.3333,overcast clouds,67,82.58,100,14.63
Punta Arenas,CL,-53.15,-70.9167,few clouds,75,33.91,20,9.22
Herat,AF,34.5,62.0,light rain,87,39.15,100,0.27
Kodinsk,RU,58.6881,99.1844,light snow,92,10.47,100,13.15
Lebu,CL,-37.6167,-73.65,overcast clouds,78,56.17,98,6.06
Hilo,US,19.7297,-155.09,heavy intensity rain,95,74.25,100,5.75
Bemidji,US,47.4736,-94.8803,clear sky,81,3.9,0,0.0
Abnub,EG,27.2696,31.1511,clear sky,43,68.34,0,8.03
Richards Bay,ZA,-28.783,32.0377,overcast clouds,63,80.89,100,9.4
Provideniya,RU,64.3833,-173.3,overcast clouds,68,24.76,100,14.16
Pandan Niog,PH,6.2282,120.5631,overcast clouds,78,82.51,100,9.84
Albany,US,42.6001,-73.9662,overcast clouds,94,55.31,100,1.99
Kaitangata,NZ,-46.2817,169.8464,broken clouds,76,52.07,61,15.28
Nikolskoye,RU,59.7035,30.7861,light snow,92,22.91,100,10.6
Saskylakh,RU,71.9167,114.0833,few clouds,99,-37.32,20,3.96
Waipawa,NZ,-41.4122,175.5153,overcast clouds,63,49.95,100,10.33
Busselton,AU,-33.65,115.3333,clear sky,40,75.11,3,15.68
Sayyan,YE,15.1718,44.3244,clear sky,21,67.05,1,2.66
Ushuaia,AR,-54.8,-68.3,clear sky,60,37.06,0,4.61
Hermanus,ZA,-34.4187,19.2345,clear sky,57,71.8,1,9.62
Mataura,NZ,-46.1927,168.8643,overcast clouds,70,53.46,89,5.55
Pisco,PE,-13.7,-76.2167,smoke,88,61.02,97,3.44
Bluff,NZ,-46.6,168.3333,overcast clouds,70,57.0,100,12.44
Qaanaaq,GL,77.484,-69.3632,overcast clouds,65,26.51,100,20.24
Werda,BW,-25.2667,23.2833,clear sky,31,87.84,0,14.72
Rabaul,PG,-4.1967,152.1721,light rain,77,81.86,100,0.69
Lagoa,PT,39.05,-27.9833,overcast clouds,73,58.17,100,35.79
Pop,UZ,40.8736,71.1089,overcast clouds,57,39.27,100,0.72
Chatham,GB,51.3789,0.5279,few clouds,89,39.07,15,7.0
Ossora,RU,59.2353,163.0719,broken clouds,84,10.4,82,7.0
Praxedis Guerrero,MX,31.3667,-106.0167,overcast clouds,47,61.61,100,0.45
Rocha,UY,-34.4833,-54.3333,light rain,81,58.41,0,6.2
Port Alfred,ZA,-33.5906,26.891,clear sky,73,75.18,0,5.99
Mogok,MM,22.9167,96.5,clear sky,46,72.77,1,2.26
Cape Town,ZA,-33.9258,18.4232,few clouds,56,76.12,20,9.22
Arequipa,PE,-16.3989,-71.535,overcast clouds,64,57.9,98,0.78
Ixtapa,MX,20.7,-105.2,clear sky,85,74.23,1,3.02
Dikson,RU,73.5069,80.5464,overcast clouds,96,-11.56,100,20.74
Vila,PT,42.0304,-8.1588,overcast clouds,95,41.88,99,4.03
Sinnamary,GF,5.3833,-52.95,scattered clouds,93,75.49,35,7.72
Quesnel,CA,52.9999,-122.5029,overcast clouds,93,19.9,100,2.3
Atuona,PF,-9.8,-139.0333,light rain,80,77.38,9,19.6
Rawson,AR,-43.3002,-65.1023,overcast clouds,69,59.68,100,5.19
Margate,GB,51.3813,1.3862,few clouds,91,38.7,21,1.01
Meulaboh,ID,4.1363,96.1285,overcast clouds,83,78.58,100,5.35
Yellowknife,CA,62.456,-114.3525,light snow,76,-17.88,100,10.36
Madera,US,37.1666,-119.8343,broken clouds,86,47.07,55,2.98
Gillette,US,44.2911,-105.5022,mist,87,9.95,100,1.99
Makeni,SL,8.8833,-12.05,scattered clouds,79,78.49,50,0.22
Brae,GB,60.3964,-1.353,light rain,69,36.88,100,25.34
Georgetown,MY,5.4112,100.3354,thunderstorm,80,85.95,20,5.75
Marquette,US,46.5333,-87.6335,overcast clouds,80,28.17,100,6.64
Mahebourg,MU,-20.4081,57.7,light rain,78,83.25,75,11.5
Riyadh,SA,24.6877,46.7219,light rain,26,69.94,78,3.15
Barrow,US,71.2906,-156.7887,light snow,92,12.22,100,9.22
Bengkulu,ID,-3.8004,102.2655,moderate rain,87,79.56,100,11.68
Jambi,ID,-1.6,103.6167,moderate rain,71,84.81,97,1.9
Kruisfontein,ZA,-34.0033,24.7314,clear sky,36,81.36,2,9.64
Pacific Grove,US,36.6177,-121.9166,clear sky,92,44.82,0,6.91
Aksu,CN,41.1231,80.2644,overcast clouds,27,33.13,96,2.1
Matay,EG,28.419,30.7792,few clouds,48,67.42,15,6.42
Cidreira,BR,-30.1811,-50.2056,clear sky,83,68.85,2,3.89
Ponta Delgada,PT,37.7333,-25.6667,heavy intensity rain,77,59.72,40,27.63
Dunedin,NZ,-45.8742,170.5036,overcast clouds,10,48.79,90,1.99
Ojinaga,MX,29.5667,-104.4167,scattered clouds,100,61.75,40,5.75
Senanga,ZM,-16.1167,23.2667,overcast clouds,46,81.82,88,9.17
Paro,BT,27.4305,89.4133,few clouds,51,57.63,14,6.73
Benjamin Hill,MX,30.1667,-111.1,few clouds,57,56.03,15,5.79
Norman Wells,CA,65.282,-126.8329,few clouds,67,-36.36,20,4.61
Rabat,MA,33.9911,-6.8401,scattered clouds,77,64.47,40,5.75
Lavrentiya,RU,65.5833,-171.0,clear sky,70,20.66,8,10.09
Constitucion,CL,-35.3333,-72.4167,clear sky,60,56.95,0,6.17
Fairbanks,US,64.8378,-147.7164,light snow,88,17.56,100,0.0
Kaspiysk,RU,42.8816,47.6392,light rain,75,42.98,40,20.13
Torbay,CA,47.6666,-52.7314,fog,97,36.75,100,6.91
Rovnoye,RU,50.7765,46.0509,clear sky,56,17.6,7,10.4
Rio Gallegos,AR,-51.6226,-69.2181,clear sky,75,35.65,0,6.91
Hamilton,US,39.1834,-84.5333,mist,97,53.94,100,1.01
Ponta Do Sol,PT,32.6667,-17.1,light rain,91,68.0,96,13.89
Manaure,CO,11.7751,-72.4445,clear sky,80,74.55,5,5.75
Thompson,CA,55.7435,-97.8558,few clouds,75,-25.44,20,5.75
Bahia Honda,CU,22.9036,-83.1592,clear sky,85,71.29,0,7.29
Huarmey,PE,-10.0681,-78.1522,overcast clouds,91,64.58,96,6.22
Praia Da Vitoria,PT,38.7333,-27.0667,light rain,94,57.45,75,30.67
Khatanga,RU,71.9667,102.5,overcast clouds,95,-17.52,86,13.71
Great Falls,US,47.5002,-111.3008,clear sky,88,-4.34,0,4.61
Hobyo,SO,5.3505,48.5268,broken clouds,69,82.24,57,18.37
Miyako,JP,39.6367,141.9525,broken clouds,77,39.87,57,3.13
Pontianak,ID,-0.0333,109.3333,light rain,83,82.38,40,5.75
Komsomolskiy,UZ,40.4272,71.7189,overcast clouds,63,38.01,100,2.13
Murray Bridge,AU,-35.1167,139.2667,broken clouds,55,58.12,67,20.65
Jamestown,US,42.097,-79.2353,fog,78,46.04,100,3.44
Port Shepstone,ZA,-30.7414,30.455,broken clouds,75,75.88,81,21.14
Hambantota,LK,6.1241,81.1185,overcast clouds,71,82.08,100,2.59
Hasaki,JP,35.7333,140.8333,overcast clouds,45,52.2,100,8.25
Ruidoso,US,33.3317,-105.673,scattered clouds,70,46.51,40,9.22
Butaritari,KI,3.0707,172.7902,light rain,82,80.38,100,12.21
East London,ZA,-33.0153,27.9116,clear sky,61,79.74,0,12.66
Rorvik,NO,64.8621,11.2373,shower rain,93,35.71,75,26.46
Saint-Philippe,RE,-21.3585,55.7679,clear sky,71,87.12,8,12.84
Boysun,UZ,38.2061,67.1986,light rain,76,39.4,100,2.55
Rajauri,IN,33.3833,74.3,clear sky,19,67.91,10,5.17
Vila Franca Do Campo,PT,37.7167,-25.4333,light rain,81,59.41,94,21.23
Ust-Nera,RU,64.5667,143.2,broken clouds,98,-45.99,77,3.13
Grand Forks,US,47.9417,-97.4337,overcast clouds,64,-7.67,100,9.22
Otjimbingwe,NA,-22.35,16.1333,clear sky,15,80.1,0,4.0
Harper,LR,4.375,-7.7169,broken clouds,78,81.19,54,5.3
Rincon,US,32.296,-81.2354,haze,90,60.76,0,0.0
Ilulissat,GL,69.2167,-51.1,broken clouds,69,32.02,75,11.5
Tramore,IE,52.1624,-7.1524,broken clouds,81,37.63,75,9.22
Castro,BR,-24.7911,-50.0119,broken clouds,98,62.8,65,2.17
Kalakamati,BW,-20.5929,27.3121,light rain,45,81.19,71,12.48
Narsaq,GL,60.9167,-46.05,clear sky,76,26.82,10,7.14
Xinxiang,CN,35.3089,113.8672,scattered clouds,43,48.29,29,3.29
Tasiilaq,GL,65.6145,-37.6368,broken clouds,90,28.56,67,3.91
Hithadhoo,MV,-0.6,73.0833,moderate rain,76,81.59,40,12.33
Faanui,PF,-16.4833,-151.75,light rain,76,80.55,21,16.6
Saint George,US,37.1041,-113.5841,clear sky,67,44.44,0,5.75
Camacha,PT,33.0833,-16.3333,few clouds,77,63.82,20,8.05
Flinders,AU,-34.5833,150.8552,overcast clouds,47,76.17,100,5.01
Rognan,NO,67.0953,15.3878,broken clouds,80,29.88,67,7.54
Piove Di Sacco,IT,45.2977,12.0368,broken clouds,92,43.05,71,2.3
Port Elizabeth,ZA,-33.918,25.5701,clear sky,47,79.09,0,5.75
Cherskiy,RU,68.75,161.3,overcast clouds,98,-11.83,100,8.12
Nuuk,GL,64.1835,-51.7216,broken clouds,69,36.21,75,27.63
Coihaique,CL,-45.5752,-72.0662,light rain,93,47.01,100,5.75
Virginia Beach,US,36.8529,-75.978,overcast clouds,94,63.03,100,6.91
Edd,ER,13.9297,41.6925,clear sky,35,88.59,0,12.26
Upernavik,GL,72.7868,-56.1549,broken clouds,76,29.17,66,31.92
Kiskunmajsa,HU,46.4903,19.74,overcast clouds,76,41.09,100,4.23
Karratha,AU,-20.7377,116.8463,clear sky,36,89.49,0,21.05
Puerto Ayora,EC,-0.7393,-90.3518,broken clouds,94,66.54,67,1.01
Severo-Kurilsk,RU,50.6789,156.125,few clouds,78,27.77,21,8.48
Doboz,HU,46.7333,21.25,broken clouds,92,39.97,73,2.59
Ryotsu,JP,38.0833,138.4333,light rain,76,48.0,99,17.96
Port Lincoln,AU,-34.7333,135.8667,broken clouds,55,58.03,55,18.72
Kodiak,US,57.79,-152.4072,clear sky,47,33.31,0,10.36
Contamana,PE,-7.3333,-75.0167,overcast clouds,97,69.84,100,0.76
Chuy,UY,-33.6971,-53.4616,light rain,94,61.92,0,4.12
Seoul,KR,37.5683,126.9778,clear sky,52,45.79,0,8.05
Idil,TR,37.3411,41.8895,few clouds,62,53.53,20,4.61
Vostok,RU,46.4856,135.8833,overcast clouds,98,4.48,99,4.21
Sokoto,NG,13.0609,5.239,clear sky,15,81.27,9,18.88
Portland,US,45.5234,-122.6762,mist,91,41.72,100,0.0
Vila Velha,BR,-20.3297,-40.2925,moderate rain,91,75.15,75,9.22
Cangucu,BR,-31.395,-52.6756,broken clouds,94,61.0,75,3.2
Novo Aripuana,BR,-5.1206,-60.3797,overcast clouds,97,72.41,92,1.48
Flin Flon,CA,54.7682,-101.865,broken clouds,94,-20.7,55,5.75
Codrington,AU,-38.2667,141.9667,overcast clouds,55,53.69,94,22.55
Boralday,KZ,43.3578,76.8594,mist,86,22.86,100,4.47
Isangel,VU,-19.55,169.2667,scattered clouds,94,78.91,40,3.44
Mgandu,TZ,-5.95,34.1333,scattered clouds,34,82.71,36,8.5
Lowicz,PL,52.1071,19.9453,overcast clouds,91,36.18,100,13.2
Homer,US,59.6425,-151.5483,overcast clouds,73,35.8,100,15.99
Esperance,AU,-33.8667,121.9,clear sky,59,63.12,0,24.23
Vao,NC,-22.6667,167.4833,overcast clouds,85,76.69,100,7.2
Berlevag,NO,70.8578,29.0864,broken clouds,87,35.55,75,9.22
Fethiye,TR,36.6217,29.1164,overcast clouds,65,58.87,100,1.97
Vikhorevka,RU,56.1201,101.1636,overcast clouds,86,8.19,100,14.61
Dunda,TZ,-8.1167,34.25,few clouds,28,90.01,17,3.98
Bambous Virieux,MU,-20.3428,57.7575,light rain,78,83.21,75,11.5
Lompoc,US,34.6391,-120.4579,clear sky,98,44.6,0,6.91
Luocheng,CN,29.3848,104.0286,overcast clouds,60,53.02,100,1.32
Lewiston,US,44.1003,-70.2148,light rain,97,46.38,100,5.75
Katsuura,JP,35.1333,140.3,overcast clouds,57,53.67,97,8.23
Wattegama,LK,6.7989,81.4808,light rain,81,74.46,100,2.53
Yulara,AU,-25.2406,130.9889,broken clouds,20,94.08,75,11.32
Dutse,NG,11.7594,9.3392,overcast clouds,20,78.76,100,14.99
Svetlyy,RU,54.675,20.1347,light snow,91,33.96,100,8.88
Leningradskiy,RU,69.3833,178.4167,broken clouds,94,-4.2,57,6.38
Santa Fe,AR,-31.6333,-60.7,light rain,76,76.01,0,1.01
Beyneu,KZ,45.3167,55.2,clear sky,50,23.36,7,8.57
Avarua,CK,-21.2078,-159.775,light rain,88,75.25,75,13.8
Kuching,MY,1.55,110.3333,thunderstorm with rain,90,86.02,40,8.01
Aykhal,RU,66.0,111.5,overcast clouds,99,-10.53,100,14.0
Maridi,SS,4.9158,29.4742,scattered clouds,34,86.2,34,7.99
Plouzane,FR,48.3833,-4.6167,overcast clouds,84,42.85,100,5.75
Abu Samrah,SY,35.3029,37.1841,scattered clouds,54,59.14,26,2.95
Mount Isa,AU,-20.7333,139.5,overcast clouds,15,100.17,100,5.75
Carnarvon,AU,-24.8667,113.6333,clear sky,67,72.86,0,16.55
Bryan,US,30.6744,-96.37,broken clouds,89,73.08,75,5.75
Farsund,NO,58.0948,6.8047,broken clouds,100,30.94,59,6.8
Nanortalik,GL,60.1432,-45.2371,scattered clouds,91,29.71,40,7.07
Grand Gaube,MU,-20.0064,57.6608,light rain,68,83.37,1,20.15
Raudeberg,NO,61.9875,5.1352,snow,64,30.87,100,17.9
Balsta,SE,59.5671,17.5278,few clouds,83,22.06,23,5.84
Kerema,PG,-7.9631,145.7785,heavy intensity rain,84,79.88,100,4.92
Taoudenni,ML,22.6783,-3.9836,clear sky,24,83.5,6,3.2
Bandarbeyla,SO,9.4942,50.8122,scattered clouds,60,82.31,41,17.2
Srikakulam,IN,18.3,83.9,overcast clouds,46,79.43,100,13.71
Montlucon,FR,46.3333,2.6,overcast clouds,98,35.71,89,6.17
Longyearbyen,SJ,78.2186,15.6401,few clouds,61,10.24,20,14.97
Domoni,KM,-12.2569,44.5319,light rain,71,83.34,26,3.58
Husavik,IS,66.0449,-17.3389,light snow,91,28.08,100,4.76
Gamba,GA,-2.65,10.0,overcast clouds,82,76.44,100,1.9
Port Hueneme,US,34.1478,-119.1951,clear sky,92,52.68,0,6.91
Tiksi,RU,71.6872,128.8694,overcast clouds,100,-24.34,100,5.35
Gambo,CF,4.6482,22.2633,overcast clouds,27,89.67,100,4.18
Broken Hill,AU,-31.95,141.4333,clear sky,22,75.52,1,25.55
Voi,KE,-3.3945,38.563,broken clouds,53,84.52,56,6.76
Pochutla,MX,15.7432,-96.4661,clear sky,64,71.82,5,3.09
Dingle,PH,10.9995,122.6711,overcast clouds,84,78.94,95,6.73
Cienfuegos,CU,22.1461,-80.4356,clear sky,100,66.34,1,3.44
Makokou,GA,0.5738,12.8642,light rain,79,78.19,95,2.73
Anadyr,RU,64.75,177.4833,broken clouds,92,7.3,75,8.95
Pangnirtung,CA,66.1451,-65.7125,light snow,96,13.98,100,2.17
Koslan,RU,63.4564,48.8989,light snow,94,18.97,100,8.3
Mareeba,AU,-17.0,145.4333,clear sky,75,78.44,9,3.4
Sioux Lookout,CA,50.1001,-91.917,clear sky,76,-14.73,0,4.61
San Quintin,MX,30.4833,-115.95,clear sky,77,55.15,0,6.69
Ostrovnoy,RU,68.0531,39.5131,overcast clouds,91,26.64,90,19.26
Marawi,PH,7.9986,124.2928,broken clouds,92,71.31,79,3.8
Mayo,US,38.8876,-76.5119,mist,96,53.19,100,4.61
Vestmanna,FO,62.1564,-7.1664,shower snow,80,31.12,100,17.27
Morant Bay,JM,17.8815,-76.4093,few clouds,76,78.42,17,14.99
Opochka,RU,56.7105,28.6617,overcast clouds,89,21.18,100,13.02
Shache,CN,38.4167,77.2406,clear sky,25,34.88,1,3.44
Beloha,MG,-25.1667,45.05,clear sky,33,97.16,0,5.75
Minot,US,48.2325,-101.2963,broken clouds,77,-8.21,75,5.75
Dongtai,CN,32.8523,120.3095,clear sky,58,47.32,3,8.84
Noumea,NC,-22.2763,166.4572,overcast clouds,99,81.0,100,3.47
Whitehorse,CA,60.7161,-135.0538,mist,85,14.81,100,0.0
Bethel,US,41.3712,-73.414,overcast clouds,93,56.89,100,1.01
Durango,MX,24.8333,-104.8333,scattered clouds,67,53.31,32,5.88
Woodstock,CA,43.1334,-80.7497,overcast clouds,96,40.42,100,4.99
Maltahohe,NA,-24.8333,16.9833,clear sky,11,81.25,0,15.21
Banda Aceh,ID,5.5577,95.3222,overcast clouds,69,82.58,98,7.67
Iqaluit,CA,63.7506,-68.5145,clear sky,96,-5.26,7,4.45
Havelock,US,34.8791,-76.9013,fog,88,64.92,100,0.0
Souillac,MU,-20.5167,57.5167,light rain,78,80.98,75,11.5
Dakar,SN,14.6937,-17.4441,clear sky,78,78.93,0,11.5
Mahajanga,MG,-15.7167,46.3167,few clouds,32,96.82,20,9.22
Lincolnton,US,35.4737,-81.2545,fog,94,50.02,100,0.0
Ballina,AU,-28.8667,153.5667,scattered clouds,93,72.79,30,13.0
Ahipara,NZ,-35.1667,173.1667,light rain,88,61.32,100,16.42
Yumen,CN,40.2833,97.2,broken clouds,78,20.95,74,5.26
Suntar,RU,62.1444,117.6319,light snow,93,16.11,100,11.45
Pafos,CY,34.7667,32.4167,scattered clouds,56,69.58,40,4.61
San Juan,AR,-31.5375,-68.5364,few clouds,40,76.93,20,3.31
Kentau,KZ,43.5206,68.5094,clear sky,46,24.55,0,3.09
Siddipet,IN,18.1,78.85,broken clouds,34,79.66,72,11.14
Tuensang,IN,26.2833,94.8333,clear sky,47,71.26,2,3.38
Tabou,CI,4.423,-7.3528,broken clouds,81,80.76,66,5.46
Grand-Santi,GF,4.25,-54.3833,scattered clouds,99,69.94,30,1.63
Kununurra,AU,-15.7667,128.7333,broken clouds,43,94.98,80,8.05
Kiunga,PG,-6.1219,141.2906,light rain,97,75.13,100,3.42
Half Moon Bay,US,37.4636,-122.4286,clear sky,91,49.91,0,0.0
New Norfolk,AU,-42.7826,147.0587,overcast clouds,53,54.9,97,1.01
Port-Gentil,GA,-0.7193,8.7815,few clouds,70,84.16,20,1.14
Zhob,PK,31.3411,69.4481,clear sky,28,60.21,4,6.26
Khamanon,IN,30.8186,76.3508,clear sky,19,72.72,0,13.87
Manacor,ES,39.5696,3.2096,broken clouds,81,58.51,54,2.93
Kenora,CA,49.8167,-94.4337,scattered clouds,76,-13.23,40,4.61
Aanekoski,FI,62.6946,25.818,overcast clouds,96,26.67,100,2.84
Cabo San Lucas,MX,22.8909,-109.9124,scattered clouds,76,76.51,30,3.83
Nome,US,64.5011,-165.4064,broken clouds,85,14.07,75,0.0
Nikita,UA,44.5333,34.2333,overcast clouds,85,36.55,100,2.64
Epinal,FR,48.1833,6.45,few clouds,83,34.56,19,0.89
West Richland,US,46.3043,-119.3614,mist,94,26.56,100,0.0
Shatrovo,RU,56.5167,64.6333,few clouds,91,6.04,14,7.72
Antofagasta,CL,-23.65,-70.4,overcast clouds,90,63.68,100,1.1
Ancud,CL,-41.8697,-73.8203,light rain,84,54.95,100,10.42
Ugoofaaru,MV,5.6667,73.0,overcast clouds,76,80.47,100,5.06
Namatanai,PG,-3.6667,152.4333,light rain,84,78.94,93,10.18
Timbiqui,CO,2.7717,-77.6654,scattered clouds,95,71.71,50,3.56
Bani,DO,18.2833,-70.3333,clear sky,70,71.85,0,6.73
