City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Puerto Ayora,EC,2022-12-15 21:07:18,-0.7393,-90.3518,78.76,92,86,5.01
1,Obihiro,JP,2022-12-15 21:07:18,42.9172,143.2044,18.68,58,1,19.44
2,Santa Maria,BR,2022-12-15 21:07:18,-29.6842,-53.8069,89.37,23,100,7.27
3,Atuona,PF,2022-12-15 21:07:19,-9.8,-139.0333,78.1,74,5,18.57
4,Morehead,US,2022-12-15 21:07:19,37.2711,-87.1764,46.15,59,75,11.5
5,Coari,BR,2022-12-15 21:07:20,-4.085,-63.1414,82.89,71,100,2.75
6,Lakatoro,VU,2022-12-15 21:07:20,-16.0999,167.4164,80.6,70,6,7.54
7,Ushuaia,AR,2022-12-15 21:03:10,-54.8,-68.3,48.54,91,100,2.64
8,Busselton,AU,2022-12-15 21:07:21,-33.65,115.3333,55.8,84,0,13.47
9,Sudbury,CA,2022-12-15 21:07:14,46.49,-80.99,32.05,97,100,10.0
10,Trinidad,BO,2022-12-15 21:07:22,-14.8333,-64.9,82.38,74,75,11.5
11,Punta Arenas,CL,2022-12-15 21:07:23,-53.15,-70.9167,53.71,82,100,6.91
12,Salalah,OM,2022-12-15 21:07:23,17.0151,54.0924,78.89,38,0,13.8
13,Port Lincoln,AU,2022-12-15 21:07:24,-34.7333,135.8667,58.28,68,100,14.36
14,Cooma,AU,2022-12-15 21:07:24,-36.2333,149.1333,44.64,72,59,10.96
15,Ribeirao Branco,BR,2022-12-15 21:07:24,-24.2208,-48.7656,68.43,77,79,2.93
16,Birin,NP,2022-12-15 21:07:25,26.8865,88.0718,51.1,78,94,1.25
17,Cape Town,ZA,2022-12-15 21:05:02,-33.9258,18.4232,75.9,75,68,15.99
18,Necochea,AR,2022-12-15 21:07:26,-38.5473,-58.7368,65.03,51,6,15.17
19,Butaritari,KI,2022-12-15 21:07:26,3.0707,172.7902,81.12,75,49,7.78
20,Kendari,ID,2022-12-15 21:07:26,-3.945,122.4989,75.65,93,100,3.27
21,Dali,CN,2022-12-15 21:07:27,25.7,100.1833,41.4,87,2,3.78
22,Lavrentiya,RU,2022-12-15 21:07:27,65.5833,-171.0,-6.09,86,28,4.07
23,Brzeg Dolny,PL,2022-12-15 21:07:28,51.273,16.7082,23.41,89,90,5.88
24,Vostok,RU,2022-12-15 21:07:28,46.4856,135.8833,-15.47,98,100,4.81
25,Souillac,MU,2022-12-15 21:07:29,-20.5167,57.5167,75.74,74,73,11.18
26,Lebu,CL,2022-12-15 21:07:29,-37.6167,-73.65,61.86,72,25,24.76
27,Nikolskoye,RU,2022-12-15 21:07:30,59.7035,30.7861,17.49,97,100,2.53
28,Saint-Philippe,RE,2022-12-15 21:07:30,-21.3585,55.7679,76.59,85,80,12.08
29,Khuzdar,PK,2022-12-15 21:07:31,27.7384,66.6434,52.23,18,1,5.48
30,Sijunjung,ID,2022-12-15 21:07:31,-0.6876,100.9537,70.32,97,67,1.61
31,Sabha,LY,2022-12-15 21:07:32,27.0377,14.4283,67.66,32,0,7.72
32,Namibe,AO,2022-12-15 21:07:32,-15.1961,12.1522,70.12,78,99,6.04
33,Hermanus,ZA,2022-12-15 21:07:33,-34.4187,19.2345,71.8,88,90,13.2
34,Laguna,US,2022-12-15 21:07:33,38.421,-121.4238,56.32,64,0,6.91
35,Chihuahua,MX,2022-12-15 21:03:48,28.5,-106.0,54.43,9,0,7.4
36,Belaya Gora,RU,2022-12-15 21:07:34,68.5333,146.4167,-46.55,99,42,0.2
37,Carberry,CA,2022-12-15 21:07:34,49.8689,-99.3602,23.23,94,100,19.48
38,Torbay,CA,2022-12-15 21:07:35,47.6666,-52.7314,39.58,97,100,31.0
39,Hithadhoo,MV,2022-12-15 21:07:35,-0.6,73.0833,81.12,71,85,10.63
40,Rikitea,PF,2022-12-15 21:07:36,-23.1203,-134.9692,74.21,75,97,7.96
41,Suez,EG,2022-12-15 21:07:36,29.9737,32.5263,62.94,70,0,5.66
42,Hobart,AU,2022-12-15 21:07:07,-42.8794,147.3294,52.27,88,75,13.8
43,Surgut,RU,2022-12-15 21:05:47,61.25,73.4167,-1.91,70,0,15.66
44,Ambon,ID,2022-12-15 21:07:37,-3.6954,128.1814,77.23,16,40,6.91
45,Jamestown,US,2022-12-15 21:07:37,42.097,-79.2353,38.79,72,100,17.27
